entrez	list
9971	Healthy
79962	Healthy
5003	Healthy
148213	Healthy
55554	Healthy
10788	Healthy
126868	Healthy
890	Healthy
3169	Healthy
29089	Healthy
2533	Healthy
6574	Healthy
64231	Healthy
1824	Healthy
384	Healthy
54866	Healthy
875	Healthy
3500	Healthy
875	Healthy
29785	Healthy
116842	Healthy
4922	Healthy
1824	Healthy
136	Healthy
3122	Healthy
120400	Healthy
64105	Healthy
389812	Healthy
9582	Healthy
563	Healthy
1559	Healthy
2938	Healthy
9099	Healthy
---	Healthy
54825	Healthy
401115	Healthy
81706	Healthy
51316	Healthy
84830	Healthy
57016	Healthy
113235	Healthy
54509	Healthy
646627	Healthy
3606	Healthy
441282	Healthy
25797	Healthy
8842	Healthy
714	Healthy
7368	Healthy
1671	Healthy
57405	Healthy
1043	Healthy
23767	Healthy
5645	Healthy
55540	Healthy
2591	Healthy
347735	Healthy
6352	Healthy
2952	Healthy
57016	Healthy
1559	Healthy
55635	Healthy
3823	Healthy
150	Healthy
2150	Healthy
400566	Healthy
10110	Healthy
962	Healthy
4922	Healthy
5645	Healthy
10753	Healthy
94234	Healthy
---	Healthy
353189	Healthy
162417	Healthy
917	Healthy
3117	Healthy
11148	Healthy
2359	Healthy
4069	Healthy
9963	Healthy
1670	Healthy
155465	Healthy
51316	Healthy
7153	Healthy
1670	Healthy
4507	Healthy
4751	Healthy
8549	Healthy
54102	Healthy
27111	Healthy
6352	Healthy
688	Healthy
112399	Healthy
399948	Healthy
10110	Healthy
5349	Healthy
2524	Healthy
983	Healthy
9037	Healthy
384	Healthy
1816	Healthy
4886	Healthy
54831	Healthy
4033	Healthy
10562	Healthy
8529	Healthy
3117	Healthy
11126	Healthy
2012	Healthy
386618	Healthy
10917	Healthy
199	Healthy
11065	Healthy
2524	Healthy
7298	Healthy
1259	Healthy
150000	Healthy
155368	Healthy
57016	Healthy
64881	Healthy
4321	Healthy
1259	Healthy
6241	Healthy
3821	Healthy
284217	Healthy
57758	Healthy
80201	Healthy
23767	Healthy
2981	Healthy
5068	Healthy
150000	Healthy
3284	Healthy
3284	Healthy
64881	Healthy
57495	Healthy
3492	Healthy
4051	Healthy
83998	Healthy
3492	Healthy
3117	Healthy
84873	Healthy
3493	Healthy
5105	Healthy
730087	Healthy
3493	Healthy
200315	Healthy
11072	CRC
25902	CRC
25902	CRC
9076	CRC
25902	CRC
57214	CRC
813	CRC
1454	CRC
6533	CRC
8507	CRC
9076	CRC
8507	CRC
1001	CRC
23082	CRC
51776	CRC
22822	CRC
57460	CRC
2118	CRC
1736	CRC
54881	CRC
60436	CRC
9188	CRC
3576	CRC
23223	CRC
790	CRC
705	CRC
7045	CRC
9669	CRC
51776	CRC
4609	CRC
9569	CRC
9669	CRC
1282	CRC
8692	CRC
6282	CRC
55248	CRC
1108	CRC
7045	CRC
1454	CRC
9188	CRC
27292	CRC
